ALT-KM,COM-U
64.300000000000,468.000000000000
62.980000000000,430.800000000000
62.680000000000,420.600000000000
62.410000000000,415.000000000000
62.140000000000,407.800000000000
61.880000000000,403.600000000000
61.610000000000,394.800000000000
61.340000000000,384.300000000000
61.090000000000,377.600000000000
60.850000000000,375.300000000000
60.610000000000,365.300000000000
60.390000000000,360.500000000000
60.170000000000,350.700000000000
59.950000000000,347.600000000000
59.720000000000,340.000000000000
59.500000000000,327.400000000000
59.280000000000,324.200000000000
59.080000000000,318.800000000000
58.870000000000,311.800000000000
58.660000000000,306.100000000000
58.450000000000,306.000000000000
58.250000000000,301.700000000000
58.060000000000,297.600000000000
57.870000000000,292.400000000000
57.680000000000,288.300000000000
57.490000000000,289.200000000000
57.310000000000,284.500000000000
57.130000000000,285.200000000000
56.940000000000,282.300000000000
56.760000000000,281.500000000000
56.590000000000,280.900000000000
56.410000000000,279.300000000000
56.240000000000,277.500000000000
56.070000000000,273.100000000000
55.900000000000,270.700000000000
55.740000000000,273.000000000000
55.580000000000,269.600000000000
55.430000000000,269.800000000000
55.280000000000,265.400000000000
55.110000000000,262.400000000000
54.950000000000,260.600000000000
54.780000000000,256.100000000000
54.620000000000,254.800000000000
54.470000000000,253.400000000000
54.310000000000,250.400000000000
54.160000000000,251.900000000000
54.020000000000,248.700000000000
53.870000000000,246.300000000000
53.730000000000,243.300000000000
53.590000000000,242.100000000000
53.450000000000,237.400000000000
53.310000000000,236.400000000000
53.170000000000,236.400000000000
53.020000000000,235.100000000000
52.890000000000,232.400000000000
52.750000000000,229.900000000000
52.610000000000,227.500000000000
52.330000000000,223.300000000000
52.200000000000,222.200000000000
52.060000000000,220.900000000000
51.930000000000,219.400000000000
51.800000000000,215.500000000000
51.670000000000,213.500000000000
51.550000000000,212.500000000000
51.420000000000,210.500000000000
51.290000000000,209.300000000000
51.160000000000,208.500000000000
51.030000000000,204.100000000000
50.890000000000,203.900000000000
50.760000000000,202.400000000000
50.640000000000,201.900000000000
50.510000000000,197.600000000000
50.270000000000,198.200000000000
50.140000000000,197.300000000000
50.030000000000,194.900000000000
49.910000000000,194.900000000000
49.790000000000,192.300000000000
49.670000000000,193.700000000000
49.550000000000,194.200000000000
49.420000000000,189.900000000000
49.310000000000,186.700000000000
49.200000000000,183.600000000000
49.090000000000,178.600000000000
48.970000000000,175.800000000000
48.860000000000,173.400000000000
48.740000000000,169.700000000000
48.630000000000,166.200000000000
48.410000000000,161.100000000000
48.300000000000,158.200000000000
48.190000000000,154.300000000000
48.080000000000,154.400000000000
47.980000000000,152.500000000000
47.870000000000,149.600000000000
47.770000000000,149.400000000000
47.650000000000,148.400000000000
47.540000000000,147.100000000000
47.440000000000,144.600000000000
47.340000000000,144.600000000000
47.240000000000,143.000000000000
47.140000000000,143.800000000000
47.030000000000,141.900000000000
46.930000000000,142.100000000000
46.720000000000,141.200000000000
46.620000000000,142.900000000000
46.520000000000,142.500000000000
46.420000000000,141.700000000000
46.320000000000,141.600000000000
46.230000000000,141.400000000000
46.120000000000,140.600000000000
46.020000000000,141.400000000000
45.920000000000,139.100000000000
45.820000000000,139.400000000000
45.720000000000,140.500000000000
45.600000000000,138.700000000000
45.470000000000,140.600000000000
45.320000000000,138.200000000000
45.170000000000,137.800000000000
44.600000000000,138.000000000000
44.330000000000,137.800000000000
44.030000000000,137.900000000000
43.650000000000,137.300000000000
43.250000000000,134.700000000000
42.820000000000,134.900000000000
42.390000000000,135.000000000000
41.980000000000,135.100000000000
41.590000000000,134.400000000000
41.220000000000,133.700000000000
40.860000000000,131.600000000000
40.510000000000,132.200000000000
40.160000000000,133.200000000000
39.800000000000,131.100000000000
39.450000000000,130.100000000000
38.800000000000,129.700000000000
38.470000000000,130.600000000000
38.160000000000,130.300000000000
37.840000000000,129.400000000000
37.520000000000,128.000000000000
37.200000000000,127.500000000000
36.900000000000,128.400000000000
36.620000000000,127.700000000000
36.320000000000,126.600000000000
36.030000000000,127.300000000000
35.740000000000,125.500000000000
35.460000000000,125.700000000000
35.180000000000,125.000000000000
34.910000000000,125.000000000000
34.630000000000,124.700000000000
34.080000000000,
33.820000000000,
33.560000000000,
33.300000000000,
33.050000000000,
32.770000000000,
32.470000000000,
32.180000000000,
31.900000000000,
31.630000000000,
31.370000000000,
31.140000000000,
30.920000000000,
30.700000000000,
30.480000000000,
29.950000000000,
29.700000000000,
29.510000000000,
29.330000000000,
29.120000000000,
28.880000000000,
28.640000000000,
28.430000000000,
28.220000000000,
28.020000000000,
27.810000000000,
27.610000000000,
27.390000000000,
27.180000000000,
26.960000000000,
26.550000000000,
26.370000000000,
26.190000000000,
25.990000000000,
25.780000000000,
25.560000000000,
25.350000000000,
25.150000000000,
24.970000000000,
24.810000000000,
24.640000000000,
24.450000000000,
24.260000000000,
24.080000000000,
23.910000000000,
23.560000000000,
23.380000000000,
23.200000000000,
23.020000000000,
22.850000000000,
22.660000000000,
22.470000000000,
22.300000000000,
22.130000000000,
21.970000000000,
21.810000000000,
21.650000000000,
21.490000000000,
21.320000000000,
21.140000000000,
20.810000000000,
20.650000000000,
20.490000000000,
20.330000000000,
20.170000000000,
20.000000000000,
19.840000000000,
19.680000000000,
19.530000000000,
19.380000000000,
19.240000000000,
19.090000000000,
18.930000000000,
18.790000000000,
18.660000000000,
18.390000000000,
18.230000000000,
18.070000000000,
17.910000000000,
17.750000000000,
17.610000000000,
17.490000000000,
17.360000000000,
17.210000000000,
17.060000000000,
16.900000000000,
16.750000000000,
16.610000000000,
16.500000000000,
16.390000000000,
16.120000000000,
15.970000000000,
15.790000000000,
15.610000000000,
15.480000000000,
15.380000000000,
15.280000000000,
15.150000000000,
15.010000000000,
14.860000000000,
14.690000000000,
14.530000000000,
14.400000000000,
14.270000000000,
14.150000000000,
13.890000000000,
13.710000000000,
13.520000000000,
13.350000000000,
13.200000000000,
13.060000000000,
12.910000000000,
12.770000000000,
12.630000000000,
12.480000000000,
12.340000000000,
12.200000000000,
12.060000000000,
11.920000000000,
11.780000000000,
11.500000000000,
11.360000000000,
11.230000000000,
11.120000000000,
11.020000000000,
10.920000000000,
10.830000000000,
10.720000000000,
10.610000000000,
10.500000000000,
10.390000000000,
10.270000000000,
10.140000000000,
10.020000000000,
9.890000000000,
9.620000000000,
9.480000000000,
9.350000000000,
9.230000000000,
9.120000000000,
9.020000000000,
8.920000000000,
8.820000000000,
8.720000000000,
8.620000000000,
8.520000000000,
8.420000000000,
8.330000000000,
8.230000000000,
8.130000000000,
7.870000000000,
7.730000000000,
7.590000000000,
7.480000000000,
7.390000000000,
7.300000000000,
7.210000000000,
7.080000000000,
6.940000000000,
6.790000000000,
6.650000000000,
6.540000000000,
6.450000000000,
6.380000000000,
6.320000000000,
6.200000000000,
6.150000000000,
6.070000000000,
5.970000000000,
5.840000000000,
5.700000000000,
5.560000000000,
5.440000000000,
5.330000000000,
5.220000000000,
5.120000000000,
5.010000000000,
4.890000000000,
4.770000000000,
4.660000000000,
4.440000000000,
4.340000000000,
4.240000000000,
4.150000000000,
4.050000000000,
3.970000000000,
3.880000000000,
3.800000000000,
3.730000000000,
3.650000000000,
3.570000000000,
3.480000000000,
3.380000000000,
3.270000000000,
3.160000000000,
2.960000000000,
2.870000000000,
2.770000000000,
2.680000000000,
2.590000000000,
2.490000000000,
2.400000000000,
2.320000000000,
2.240000000000,
2.160000000000,
2.080000000000,
2.000000000000,
1.910000000000,
1.820000000000,
1.730000000000,
1.520000000000,
1.410000000000,
1.310000000000,
1.220000000000,
1.160000000000,
1.090000000000,
1.030000000000,
0.960000000000,
0.890000000000,
0.820000000000,
0.740000000000,
0.650000000000,
0.550000000000,
0.440000000000,
0.340000000000,
0.190000000000,
0.120000000000,
